,,,,,,No. of cases,,
State,Year,Month,Class*,Etiologic agent,Illness,(n = 80),Source,Setting
,,,,,,,,
Florida,2002,Jul,NA†,Naegleria fowleri,Meningoencephalitis,1,Lake,Park
Florida,2002,Jul,NA,N. fowleri,Meningoencephalitis,1,Lake,Lake
Georgia,2002,Aug,NA,N. fowleri,Meningoencephalitis,1,River,River
Georgia,2002,Jun,IV,ARI§,Acute respiratory,4,Spa,Private residence
Illinois,2002,Aug,I,Legionella species¶**,Pontiac fever,68,Spa,Hotel/motel
Oklahoma,2001,Jun,NA,N. fowleri,Meningoencephalitis,1,Lake,Lake
Texas,2001,Aug,NA,N. fowleri,Meningoencephalitis,1,Lake,Lake
Texas,2001,Aug,NA,N. fowleri,Meningoencephalitis,1,Lake,Lake
Texas,2001,Aug,NA,N. fowleri,Meningoencephalitis,1,Lake,Lake
Texas,2002,Aug,NA,N. fowleri,Meningoencephalitis,1,Lake,Lake
