,,,,,No. of cases,,
,,,Predominant,,(deaths),,
State,Month,Class*,Etiologic agent,illness†,(n = 133),Type,Setting
California,Jun,IV,Unidentified§,Skin†,9,Lake,Lake
Florida,Jul,II,Unidentified¶,AGI†,10,Lake,Lake
Florida,May,II,Unidentified¶,AGI,20,Lake,Camp
Georgia,May,I,Shigella sonnei,AGI,13,Lake,Park
Idaho,Jul,IV,Cryptosporidium,AGI,4,Lake,Lake
Maryland,Jul,III,S. sonnei & Plesiomonas shigelloides**,AGI,65,Lake,Park
North Carolina,Jul,IV,Naegleria fowleri,Neuro†,1 (1),Lake,Lake
Ohio,Jul,IV,P. shigelloides,AGI,3,Lake,Bathing beach
Ohio,Jun,IV,Unidentified§,Skin,6,Lake,Private beach
Wyoming,Jul,IV,P. shigelloides,AGI,2,Reservoir,Reservoir
