,,,,,No. of cases,,
,,,,Predominant†,(deaths),,
State,Month,Class*,Etiologic agent,illness,(n = 171),Type,Setting
California,Jul,IV,Unidentified §,Skin,2,Lake,Lake
California,Jul,IV,Leptospira,Lep,3,Stream,Stream
Florida,Jul,I,Unidentified ¶,Other,24,Ocean¶,Beach
Florida,Nov,II,Leptospira,Lep,43,Stream,Adventure race
Maine,Jul,III,Unidentified,AGI,10,Lake,Swimming beach
Massachusetts,Jul,IV,Shigella sonnei,AGI,5,Lake,Lake
Michigan,Jun,IV,Copper sulfate,ARI,3,Lake,Lake
Minnesota,Jun,IV,Escherichia coli O157:H7,AGI,4,Lake,Swimming beach
Minnesota,Jul,IV,S. sonnei,AGI,12,Lake,Swimming beach
Minnesota,Aug,IV,Norovirus,AGI,8,Lake,Swimming beach
New York,Jul,III,Cryptosporidium,AGI,27,Lake,Swimming beach
New York,Aug,III,Unidentified**,AGI,13,Lake,Lake
Oklahoma,Jul,IV,Naegleria fowleri,Neuro,2 (2),Unknown††,Unknown
Pennsylvania,Jul,IV,S. sonnei,AGI,15,Lake,Swimming beach
