,,,,,No. of,,,,
,,,,Predominant,cases,Type of,,,
State,Month,Class,Etiologic agent,illness,(n = 508),system* Deficiency†,,Source,Setting
Alaska,Jun,I,Campylobacter jejuni and,,,,,,
,,,Yersinia enterocolitica§,Gastroenteritis,12,Ncom,2,Well,Bunkhouse
Colorado,Feb,III,Giardia intestinalis,Gastroenteritis,6,Com,3,River/stream,Community
Florida,Apr,III,AGI¶,Gastroenteritis,3,Ind,3,Well,Household
Florida,Apr,III,AGI,Gastroenteritis,4,Ind,3,Well,Household
Florida,Apr,III,G. intestinalis,Gastroenteritis,6,Ind,2,Well,Household
Florida,Jul,III,AGI,Gastroenteritis,4,Ind,3,Well,Household
Florida,Aug,III,Ethylene glycol,Gastroenteritis,3,Com,4,Well,School
Florida,Sep,III,"Ethyl benzene, toluene, xylene",Gastroenteritis,2,Ind,5,Spring (bottled),Bottled water
Illinois,Oct,II,AGI,Gastroenteritis,79,Ncom,5,Well,School
Indiana,Aug,IV,Cryptosporidium species,Gastroenteritis,10,Ind,3**,Well,Household
Minnesota,Sep,III,Copper and other minerals,Gastroenteritis,4,Ncom,4,Well,Church
Minnesota,Nov,III,Copper,Gastroenteritis,28,Com,4,Well,School
Ohio,Sep,III,Copper,Gastroenteritis,2,Com,4,River/stream,Steel plant
Pennsylvania,Jun,II,AGI,Gastroenteritis,19,Ncom,3,Well,Camp
Wisconsin,Jan,I,C. jejuni,Gastroenteritis,13,Ind,2,Well,Household
Wyoming,Jan,I,Norovirus,Gastroenteritis,230,Ncom,2,Well,Lodge
Wyoming,Sep,I,Norovirus,Gastroenteritis,83,Ncom,3,Well,Restaurant
